time,lat,lon,C2:9B:38:AF:12:75/09b1e796-8c3b-3475-9e45-a8d31f93649b,C2:9B:38:AF:12:75/0e55db4e-b72e-3e9c-9468-d4ef44cb069c,C2:9B:38:AF:12:75/2ab77db3-5669-3f2c-842a-760e4ae0ef4c,C2:9B:38:AF:12:75/3af9ac1c-c3a5-36f7-a737-4868789e2832,C2:9B:38:AF:12:75/c697eede-6a0a-3d21-8936-3a7f86a830ee,C2:9B:38:AF:12:75/f9c1476f-1603-397a-a451-2a30c91dbe5c,D7:85:88:F5:88:4C/0e55db4e-b72e-3e9c-9468-d4ef44cb069c,D7:85:88:F5:88:4C/3af9ac1c-c3a5-36f7-a737-4868789e2832,D7:85:88:F5:88:4C/66bd8860-6e87-3544-b022-1abaf04ce4ca,D7:85:88:F5:88:4C/c697eede-6a0a-3d21-8936-3a7f86a830ee,D7:85:88:F5:88:4C/c77e7cf1-12bc-36be-9270-c8d56e131eac,D7:85:88:F5:88:4C/d3eedeb6-a50a-35bb-9a2c-d9626d3d4b3e,DA:B5:6B:DD:72:60/09b1e796-8c3b-3475-9e45-a8d31f93649b,DA:B5:6B:DD:72:60/0e55db4e-b72e-3e9c-9468-d4ef44cb069c,DA:B5:6B:DD:72:60/3af9ac1c-c3a5-36f7-a737-4868789e2832,DA:B5:6B:DD:72:60/4552091f-a928-358f-8ae8-be7f9b8d89fe,DA:B5:6B:DD:72:60/66bd8860-6e87-3544-b022-1abaf04ce4ca,DA:B5:6B:DD:72:60/c697eede-6a0a-3d21-8936-3a7f86a830ee,E5:53:1E:24:96:2F/09b1e796-8c3b-3475-9e45-a8d31f93649b,E5:53:1E:24:96:2F/0e55db4e-b72e-3e9c-9468-d4ef44cb069c,E5:53:1E:24:96:2F/18eb2042-91cf-38e6-b280-8bef570522d7,E5:53:1E:24:96:2F/3af9ac1c-c3a5-36f7-a737-4868789e2832,E5:53:1E:24:96:2F/a3ad12b7-06e9-31be-bcc9-4cd0249b5562,E5:53:1E:24:96:2F/c697eede-6a0a-3d21-8936-3a7f86a830ee,E8:97:A0:6C:3B:24/0e55db4e-b72e-3e9c-9468-d4ef44cb069c,E8:97:A0:6C:3B:24/3af9ac1c-c3a5-36f7-a737-4868789e2832,E8:97:A0:6C:3B:24/5cc80f56-5657-302f-80a2-769e378f37f2,E8:97:A0:6C:3B:24/c697eede-6a0a-3d21-8936-3a7f86a830ee,E8:97:A0:6C:3B:24/d3eedeb6-a50a-35bb-9a2c-d9626d3d4b3e,E8:97:A0:6C:3B:24/da2c6c1a-c379-3ccb-8392-3a816b474af2,EB:78:55:87:E9:E5/09b1e796-8c3b-3475-9e45-a8d31f93649b,EB:78:55:87:E9:E5/0e55db4e-b72e-3e9c-9468-d4ef44cb069c,EB:78:55:87:E9:E5/1201aae4-b97c-3ec7-8ad3-869e3a8a1d25,EB:78:55:87:E9:E5/3af9ac1c-c3a5-36f7-a737-4868789e2832,EB:78:55:87:E9:E5/6090e946-3b7f-3f74-aeae-e7202f6c8d69,EB:78:55:87:E9:E5/c697eede-6a0a-3d21-8936-3a7f86a830ee
1560507485000.0,54.72979689120507,25.262759976992424,0.0,0.0,0.0,0.0,0.0,0.0,-64.8,-52.0,-71.42857142857143,-60.0,-66.0,-53.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1560507486000.0,54.72979605875758,25.262760361428285,0.0,0.0,0.0,0.0,0.0,0.0,-64.75,-59.0,-73.38095238095238,-64.5,-69.55555555555556,-56.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-93.0,0.0,0.0,-93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1560507487000.0,54.72979522631008,25.26276074586415,0.0,0.0,0.0,0.0,0.0,0.0,-67.25,-59.0,-74.08333333333333,-64.5,-69.25,-61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-93.0,0.0,0.0,-93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1560507488000.0,54.72979439386259,25.26276113030001,0.0,0.0,0.0,0.0,0.0,0.0,-67.0,-61.333333333333336,-76.0,-65.4,-71.27272727272727,-63.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-93.0,0.0,0.0,-93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1560507489000.0,54.72979376611382,25.2627629188733,0.0,0.0,0.0,0.0,0.0,0.0,-68.5,-59.0,-75.66666666666667,-63.0,-70.25,-59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1560507490000.0,54.72979417426466,25.262771813232956,0.0,0.0,0.0,0.0,0.0,0.0,-70.0,-56.333333333333336,-77.78947368421052,-66.0,-73.0,-58.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1560507491000.0,54.7297945824155,25.26278070759261,0.0,0.0,0.0,0.0,0.0,0.0,-71.75,-54.333333333333336,-78.38888888888889,-64.66666666666667,-72.22222222222223,-57.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1560507492000.0,54.72979499056633,25.262789601952264,0.0,0.0,0.0,0.0,0.0,0.0,-72.5,-56.0,-79.36363636363636,-64.66666666666667,-73.36363636363636,-56.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1560507493000.0,54.72979539871717,25.26279849631192,0.0,0.0,0.0,0.0,0.0,0.0,-73.44444444444444,-57.666666666666664,-81.45454545454545,-65.0,-75.63636363636364,-56.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1560507494000.0,54.72979580686801,25.262807390671576,0.0,0.0,0.0,0.0,0.0,0.0,-75.0,-63.0,-84.25,-71.66666666666667,-80.22222222222223,-60.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1560507495000.0,54.72979575355338,25.262811380749252,0.0,0.0,0.0,0.0,0.0,0.0,-79.0,-64.0,-85.5,-74.5,-82.625,-65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-87.0,0.0,0.0,-91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1560507496000.0,54.72979518609013,25.26280990664806,0.0,0.0,0.0,0.0,0.0,0.0,-79.71428571428571,-69.0,-85.78571428571429,-81.0,-85.5,-67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-87.0,0.0,0.0,-91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1560507497000.0,54.729794618626876,25.262808432546866,0.0,0.0,0.0,0.0,0.0,0.0,-78.33333333333333,-62.0,-81.92857142857143,-72.33333333333333,-77.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-92.0,0.0,0.0,-90.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1560507498000.0,54.729794051163616,25.262806958445676,0.0,0.0,0.0,0.0,0.0,0.0,-73.14285714285714,-62.333333333333336,-79.25,-66.66666666666667,-74.16666666666667,-58.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-92.0,0.0,0.0,-90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1560507499000.0,54.729795254793274,25.26280145060712,0.0,0.0,0.0,0.0,0.0,0.0,-72.25,-62.25,-79.22727272727273,-67.25,-76.3,-61.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-92.0,0.0,0.0,-90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1560507500000.0,54.729799360398374,25.26278933339943,0.0,0.0,0.0,0.0,0.0,0.0,-72.55555555555556,-65.66666666666667,-80.72,-68.66666666666667,-79.1,-61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1560507501000.0,54.729803466003474,25.262777216191736,0.0,0.0,0.0,0.0,0.0,0.0,-72.33333333333333,-63.25,-80.54166666666667,-67.0,-78.66666666666667,-63.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-89.0,0.0,0.0,-89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1560507502000.0,54.72980745684391,25.262765527572164,0.0,0.0,0.0,0.0,0.0,0.0,-70.0,-63.666666666666664,-79.65,-65.0,-77.45454545454545,-60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-87.0,0.0,-88.0,-89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1560507503000.0,54.729807860362975,25.262767235787724,0.0,0.0,0.0,0.0,0.0,0.0,-71.14285714285714,-59.5,-78.6923076923077,-62.0,-76.25,-61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-87.0,0.0,-88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1560507504000.0,54.72980826388204,25.262768944003284,0.0,0.0,0.0,0.0,0.0,0.0,-71.66666666666667,-62.0,-79.33333333333333,-64.5,-76.66666666666667,-58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-85.0,0.0,-88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1560507505000.0,54.72980866740111,25.262770652218844,0.0,0.0,0.0,0.0,0.0,0.0,-72.625,-62.333333333333336,-80.53333333333333,-65.5,-77.33333333333333,-57.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1560507506000.0,54.729809070920176,25.262772360434408,0.0,0.0,0.0,0.0,0.0,0.0,-70.0,-62.25,-79.94736842105263,-65.25,-76.5,-56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-87.0,0.0,-92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1560507507000.0,54.729811974120246,25.262782225275743,0.0,0.0,0.0,0.0,0.0,0.0,-70.11111111111111,-62.5,-78.8,-65.0,-76.3,-56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-87.0,0.0,-92.0,-85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1560507508000.0,54.72981588350327,25.262795373359147,0.0,0.0,0.0,0.0,0.0,0.0,-70.22222222222223,-62.5,-78.6,-64.25,-76.4,-54.0,0.0,0.0,0.0,0.0,0.0,0.0,-97.0,0.0,0.0,0.0,0.0,0.0,0.0,-87.0,0.0,-92.0,-85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1560507509000.0,54.729819792886296,25.262808521442555,0.0,0.0,0.0,0.0,0.0,0.0,-72.57142857142857,-67.0,-78.5,-65.33333333333333,-77.88888888888889,-57.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,-97.0,0.0,0.0,0.0,0.0,0.0,0.0,-87.0,0.0,0.0,-85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1560507510000.0,54.7298223258669,25.26281777769327,0.0,0.0,0.0,0.0,0.0,0.0,-72.85714285714286,-66.5,-78.77777777777777,-65.75,-78.57142857142857,-59.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,-97.0,0.0,0.0,0.0,0.0,0.0,0.0,-87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1560507511000.0,54.729821585241716,25.26281777769327,0.0,0.0,0.0,0.0,0.0,0.0,-70.71428571428571,-64.33333333333333,-78.27777777777777,-66.0,-75.625,-63.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,-94.0,0.0,0.0,0.0,0.0,0.0,0.0,-86.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1560507512000.0,54.72982084461653,25.26281777769327,0.0,0.0,0.0,0.0,0.0,0.0,-68.75,-61.0,-78.0952380952381,-65.25,-74.11111111111111,-62.0,0.0,0.0,0.0,0.0,0.0,0.0,-89.5,0.0,0.0,0.0,0.0,-92.0,0.0,-86.5,0.0,-89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
