time,id,lat,lon,C2:9B:38:AF:12:75/09b1e796-8c3b-3475-9e45-a8d31f93649b,C2:9B:38:AF:12:75/0e55db4e-b72e-3e9c-9468-d4ef44cb069c,C2:9B:38:AF:12:75/2ab77db3-5669-3f2c-842a-760e4ae0ef4c,C2:9B:38:AF:12:75/3af9ac1c-c3a5-36f7-a737-4868789e2832,C2:9B:38:AF:12:75/c697eede-6a0a-3d21-8936-3a7f86a830ee,C2:9B:38:AF:12:75/f9c1476f-1603-397a-a451-2a30c91dbe5c,D7:85:88:F5:88:4C/0e55db4e-b72e-3e9c-9468-d4ef44cb069c,D7:85:88:F5:88:4C/3af9ac1c-c3a5-36f7-a737-4868789e2832,D7:85:88:F5:88:4C/66bd8860-6e87-3544-b022-1abaf04ce4ca,D7:85:88:F5:88:4C/c697eede-6a0a-3d21-8936-3a7f86a830ee,D7:85:88:F5:88:4C/c77e7cf1-12bc-36be-9270-c8d56e131eac,D7:85:88:F5:88:4C/d3eedeb6-a50a-35bb-9a2c-d9626d3d4b3e,DA:B5:6B:DD:72:60/09b1e796-8c3b-3475-9e45-a8d31f93649b,DA:B5:6B:DD:72:60/0e55db4e-b72e-3e9c-9468-d4ef44cb069c,DA:B5:6B:DD:72:60/3af9ac1c-c3a5-36f7-a737-4868789e2832,DA:B5:6B:DD:72:60/4552091f-a928-358f-8ae8-be7f9b8d89fe,DA:B5:6B:DD:72:60/66bd8860-6e87-3544-b022-1abaf04ce4ca,DA:B5:6B:DD:72:60/c697eede-6a0a-3d21-8936-3a7f86a830ee,E5:53:1E:24:96:2F/09b1e796-8c3b-3475-9e45-a8d31f93649b,E5:53:1E:24:96:2F/0e55db4e-b72e-3e9c-9468-d4ef44cb069c,E5:53:1E:24:96:2F/18eb2042-91cf-38e6-b280-8bef570522d7,E5:53:1E:24:96:2F/3af9ac1c-c3a5-36f7-a737-4868789e2832,E5:53:1E:24:96:2F/a3ad12b7-06e9-31be-bcc9-4cd0249b5562,E5:53:1E:24:96:2F/c697eede-6a0a-3d21-8936-3a7f86a830ee,E8:97:A0:6C:3B:24/0e55db4e-b72e-3e9c-9468-d4ef44cb069c,E8:97:A0:6C:3B:24/3af9ac1c-c3a5-36f7-a737-4868789e2832,E8:97:A0:6C:3B:24/5cc80f56-5657-302f-80a2-769e378f37f2,E8:97:A0:6C:3B:24/c697eede-6a0a-3d21-8936-3a7f86a830ee,E8:97:A0:6C:3B:24/d3eedeb6-a50a-35bb-9a2c-d9626d3d4b3e,E8:97:A0:6C:3B:24/da2c6c1a-c379-3ccb-8392-3a816b474af2,EB:78:55:87:E9:E5/09b1e796-8c3b-3475-9e45-a8d31f93649b,EB:78:55:87:E9:E5/0e55db4e-b72e-3e9c-9468-d4ef44cb069c,EB:78:55:87:E9:E5/1201aae4-b97c-3ec7-8ad3-869e3a8a1d25,EB:78:55:87:E9:E5/3af9ac1c-c3a5-36f7-a737-4868789e2832,EB:78:55:87:E9:E5/6090e946-3b7f-3f74-aeae-e7202f6c8d69,EB:78:55:87:E9:E5/c697eede-6a0a-3d21-8936-3a7f86a830ee
1561025159000.0,165.0,54.72986343,25.26270544,0.0,0.0,0.0,0.0,0.0,0.0,-62.0,-56.0,-72.5,-60.0,-66.0,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1561025160000.0,165.0,54.72986343,25.26270544,0.0,0.0,0.0,0.0,0.0,0.0,-63.25,-56.0,-72.47368421052632,-61.333333333333336,-66.85714285714286,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1561025161000.0,165.0,54.72986343,25.26270544,0.0,0.0,0.0,0.0,0.0,0.0,-62.857142857142854,-56.0,-71.83333333333333,-61.333333333333336,-66.9,-51.0,0.0,0.0,0.0,0.0,0.0,0.0,-96.0,0.0,0.0,0.0,0.0,0.0,0.0,-93.0,0.0,0.0,-89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1561025162000.0,165.0,54.72986343,25.26270544,0.0,0.0,0.0,0.0,0.0,0.0,-62.57142857142857,-55.5,-71.66666666666667,-61.0,-66.9090909090909,-51.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,-96.5,0.0,0.0,0.0,0.0,0.0,0.0,-93.0,0.0,0.0,-89.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1561025163000.0,165.0,54.72986343,25.26270544,0.0,0.0,0.0,0.0,0.0,0.0,-68.0,-63.333333333333336,-75.04761904761905,-68.33333333333333,-71.0,-58.0,0.0,0.0,0.0,0.0,0.0,0.0,-96.0,0.0,0.0,0.0,0.0,0.0,0.0,-93.0,0.0,0.0,-90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1561025164000.0,165.0,54.72986636675745,25.262705506133877,0.0,0.0,0.0,0.0,0.0,0.0,-71.875,-66.66666666666667,-78.29166666666667,-67.6,-74.0,-58.25,0.0,0.0,0.0,0.0,0.0,0.0,-96.0,0.0,0.0,0.0,0.0,0.0,0.0,-93.0,0.0,0.0,-90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1561025165000.0,165.0,54.7298699834538,25.262705587579536,0.0,0.0,0.0,0.0,0.0,0.0,-72.25,-67.66666666666667,-81.45,-69.6,-76.6,-60.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,-95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1561025166000.0,164.0,54.729873600150164,25.2627056690252,0.0,0.0,0.0,0.0,0.0,0.0,-65.5,-58.0,-77.34782608695652,-64.2,-71.27272727272727,-50.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1561025167000.0,164.0,54.729877216846525,25.262705750470857,0.0,0.0,0.0,0.0,0.0,0.0,-61.625,-53.0,-71.95833333333333,-61.75,-67.25,-49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-93.0,-90.0,0.0,0.0,-87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1561025168000.0,164.0,54.72987764,25.26270576,0.0,0.0,0.0,0.0,0.0,0.0,-61.142857142857146,-50.0,-68.88888888888889,-56.666666666666664,-63.416666666666664,-47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-93.0,-90.0,0.0,0.0,-84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
